price,area_m2,bedrooms,bathrooms,parking,price/m2,neighborhood
585000,95,3,4,2,6157.89,PARQUE IRACEMA
835000,111,3,4,3,7522.52,ALDEOTA
480000,112,3,4,3,4285.71,JOAQUIM TAVORA
590000,149,3,4,2,3959.73,PATRIOLINO RIBEIRO
399000,108,3,2,2,3694.44,COCO
569209,73,3,2,2,7797.38,CIDADE DOS FUNCIONARIOS
450000,121,3,3,1,3719.01,ALDEOTA
460000,88,3,2,2,5227.27,MEIRELES
695000,137,3,3,2,5072.99,MEIRELES
649000,95,3,3,2,6831.58,COCO
240000,65,3,2,2,3692.31,CIDADE DOS FUNCIONARIOS
245000,116,3,1,2,2112.07,PAPICU
250000,91,3,2,1,2747.25,VARJOTA
231900,62,3,2,1,3740.32,CAMBEBA
700000,160,3,4,2,4375.0,ALDEOTA
335000,64,2,2,2,5234.38,MONTE CASTELO
420000,100,3,3,1,4200.0,COCO
525000,96,3,2,2,5468.75,ALDEOTA
730000,133,3,5,4,5488.72,ALDEOTA
429999,90,3,3,1,4777.77,MUCURIPE
334937,64,3,2,2,5233.39,DAMAS
550000,124,3,3,2,4435.48,VARJOTA
350000,120,4,2,2,2916.67,ALDEOTA
365000,120,3,3,1,3041.67,JOSE BONIFACIO
215000,107,3,3,1,2009.35,PARQUELANDIA
473000,86,3,2,2,5500.0,FATIMA
329000,55,2,2,1,5981.82,PAPICU
155000,74,2,2,1,2094.59,DAMAS
330000,86,3,3,1,3837.21,ALDEOTA
680000,81,3,3,2,8395.06,COCO
440000,75,2,3,2,5866.67,COCO
225000,63,3,2,1,3571.43,MARAPONGA
434999,65,3,2,2,6692.29,MEIRELES
569520,70,3,2,2,8136.0,EDSON QUEIROZ
650000,105,3,3,2,6190.48,VARJOTA
529000,86,2,3,2,6151.16,MUCURIPE
145000,70,3,2,1,2071.43,CAJAZEIRAS
200000,93,3,3,1,2150.54,BENFICA
198000,60,3,2,2,3300.0,SAO GERARDO
495000,131,3,3,1,3778.63,ALDEOTA
310000,174,3,4,2,1781.61,PAPICU
750000,200,3,2,3,3750.0,DIONISIO TORRES
